prediction;gold;sentence
negative;negative;unfortunately not quite.
positive;positive;a masked killer ha captured the family, only the little daughter seems to be still hidden somewhere and so arkin decides to help her.
positive;positive;first and foremost, however, is omar sharif, whom i consider one of the best actor of his time.
negative;positive;back to the weeds.
negative;negative;the fact that the film also rightly did not get a goldjung is largely due to the, in my opinion, for whatever reason, the oscar nominated screenplay.
negative;positive;however, the alien themselves are not mentioned in the film.
positive;positive;"""man of steel"" is a pure action spectacle."
positive;positive;"a for thomas newman's score, in ""skyfall"" he rather return to the root of 007 and thus put u in the classic bond feeling."
positive;positive;the first 2\3thirds of the film are absolutely world class, creating an absolutely riveting tension.
positive;positive;this is because the film is based on true events.
positive;positive;just perfect i find the film totally good!!!
positive;positive;"to bring his son ""home"" thomas set off for france."
negative;negative;hi, we also watched the movie because it wa hugely hyped.
negative;negative;bibi bravely step in a a substitute, score a few point and - of course - get in trouble, because a girl can surely only score point when she's been hexed.
negative;positive;in general, the entire film is full of bombastic action and breathtaking special effect that really doesn't have to hide from the competition.
negative;positive;in combination with the recorded commentary of various radio and television commentators, this creates a real racing feeling for the viewer, even if these scene occasionally seem a little confusing.
negative;negative;and the story wa also more than laughable.
negative;positive;the stage light from the ice rink wa directed to the aisle running toward them, where nancy kerrigan wa weeping bitterly.
positive;positive;the review is very appropriate (even if it spoil a lot!
negative;positive;i wa incredibly impressed by that.
negative;positive;the only thing that wa missing is q who want to put humanity on trial again:-) this movie is the proof that star trek is better than star wars!
negative;positive;therefore, there wa plenty of scope for action, and a robert downey jr.
negative;negative;sigourney weaver play her character super a usual, but unfortunately this ha hardly anything to do with the replay that you could only admire after the 3 first parts.
positive;positive;an absolute firework display of special effects.
positive;positive;of course, an absolutely predictable love story should not be missing.
negative;negative;furthermore, the ending disappoints all along the line: everything suddenly take a good end - of course completely surprising - which no one could have guessed...
negative;positive;perfectly flimsy and staged re-launch of the series, in which the humor is not missing in just the right dose - we can look forward to more!
negative;positive;music only appears when someone turn on the radio or record player in the film.
positive;positive;all in all, a very good comedy that you should definitely check out.
positive;negative;nevertheless, if two more film are shot, that will not be enough.
negative;negative;to express it in school grades: it's a if you first wrote a 2, then a 4 and last but not least a 6!
negative;positive;but who fan and a a small child could already inspire for the two monkeys^^ will be fully satisfied!
negative;negative;the film is by no mean weak, but it's not more than average either.
negative;positive;nevertheless, i had to grin almost continuously at this ingenuity, especially charly captivated me.
negative;positive;there wa also more in the 1st quarter.
positive;positive;but this subject matter made sense in the bond films' effort to offer something a contemporary a possible.
positive;positive;the vocal performance are excellent, captivating with a rousing production.
positive;positive;even though praunheim is present here a the protagonist, a in many of his other films, this becomes visibly secondary a the film progresses.
positive;positive;the absolute highlight is of course the final showdown against the devil himself.
positive;positive;both film have their raison d'ãªtre, a the opening of the story conveys a completely different feeling.
negative;negative;"only a few ""highlights"" (i can only call these due to the fact that the rest of the movie is just bland) like marcellus' saying (""i'll work you with a blowtorch"") or butches' saying (""i'm american, there name have no deeper meaning"") save the movie from being a total crash for me personally."
positive;positive;the gloomy atmosphere in addition and especially the absolutely terrific performance of the two young actors.
negative;positive;damn ignoramuses!
negative;positive;unbeliever have no knowledge of the bible.
positive;negative;unfortunately spielts the no longer in the cinema, but that ha really absolutely class!
positive;negative;the end also very good!
negative;negative;2.
positive;positive;sure, it's not for everyone, but if you're into movie like the wedding crasher or the classic fear and loathing in la vegas, this film will surely make you doubled over in laughter.
negative;negative;even i, a a woman, have to admit that the men in the film are kept very small.
negative;positive;for example, snape's memory or harry and dumbledore in the anteroom to the otherworld... the film took it time for that, and that wa a very big plus!
negative;negative;i mean seymour didn't even get the chance to show his skills.
positive;negative;"""sensitive chris would break up over the breakup - yet he can't help but continue working for mccauley and indulging in gambling addiction."""
positive;negative;film-noirish to hitchcock-like, worth a look, even if not one of the really big bringers from it time.
negative;positive;would be seeehhhrrrr net.
negative;positive;likewise, they were not so convinced by the still unknown al pacino.
positive;positive;the film is shot at a remarkable pace.
positive;negative;even though the acting wa solid in parts, it didn't save the film.
positive;negative;the idea is also very good.
negative;negative;the hint at the end, what could have happened to jimmy, then throw any message, which wa propagated the whole film long before long, over the heap again.
negative;negative;all in all, a tame, boring film (and we weren't expecting an action tearjerker or anything).
positive;negative;in my opinion, partly yes, but there is still room for improvement.
positive;positive;but with harry, i'm disappointed.
negative;negative;in my opinion the worst work of tim burton.
negative;negative;the movie is soooo bad.
positive;positive;great cinema what awaits you here!
positive;positive;thanks peter!
negative;positive;fan should not miss the editiere ulysses cut.
positive;positive;at the same time, burton pay tribute to old-fashioned horror film in his own way, bringing gothic, loud and bloody horror to the screen, especially in the opening scene a well a the apocalyptic showdown.
negative;positive;to @andreas now now calm down again, ok?!
negative;negative;5.
negative;negative;"also, it doesn't seem a overloaded goofy and cheap a ""batman v superman""."
positive;positive;after jurassic world, i'm now trying my hand a a film critic again.
negative;positive;thus, the father figure is likely to be much more than an extra-idian in disguise - namely, the incarnation of a being who ha access to all thought and idea that have ever existed in the universe (or, even more metaphysically, a being who embodies all these thought and idea a a kind of world spirit).
positive;positive;again and again, clue appear that he is not able to interpret.
negative;negative;"both together don't work and the result is a bumpy script disaster like in the last ""007 adaptations""."
negative;positive;this is basically quite simple (at least nothing really new), but told in a time-shifted and somewhat chaotic way, so that the viewer is kept spellbound.
positive;positive;this movie is just great it is the first in the series that is always dark and doesn't try to make everything a kid friendly a possible which is why it is one of the best in the series
positive;positive;i think this film is brilliant because it express many thing that everyone ha in them, it is very much based on the manga and anime, which is rare in film adaptation of this kind.
positive;positive;i also love problem films, film noir and the like, but: this is loose, breezy, casual.
positive;positive;one of takashi miike's best film not a pure action film but rather an action drama conclusion: a film worth seeing that hollywood could never make
negative;negative;the film start very quietly, but then increase until it loses tension again after a while.
negative;negative;i'll stick with the books.
negative;positive;leave this movie where it is!
positive;positive;and the new die hard is the best action movie i've seen in recent years.
positive;positive;top!
negative;negative;but this is not a big negative point.
negative;negative;"the dramatic gesture and closing rhetoric of the teacher near the end do not fit the much too short and much too ""simple"" development."
negative;positive;there is not too much action but not too little either, all very well balanced.
positive;negative;secondary.
positive;negative;temporary impotence in superheroes is also addressed, here we are shown that the man is deeply controlled by his vulnerable psyche and may need a latex costume with action foreplay to harden his masculinity.
negative;negative;"so that one then also get to hear such completely enigmatic attribute a ""family"" and ""friends"" in the hanebulous finale."
positive;positive;a in almost every one of burton's productions, the environment (as well a the actor through their specially designed appearance) seems almost surreal and thus very mysterious.
positive;positive;the film is exciting throughout and provides a few laugh with a light breeze of healthy humor.
negative;positive;negatively, i noticed some time jump unfortunately because the first meeting at the airport is simply overplayed although i can not imagine that godzilla would let him escape so easily or the mato wa on the same.
positive;positive;when someone like him is suddenly nominated for a golden globe, it make you sit up and take notice.
positive;positive;the staging is captivatingly precise, the film over 2 hour not only exciting, but also emotionally gripping.
positive;positive;he show what war doe to people and how it change them.
negative;negative;no matter how good the acting of the two main character is, the film itself is not.
negative;negative;the charm of a terence hill, a well a some supporting character worth watching, kept me watching the film in it entirety and made the experience more than wasted time.
positive;negative;"in this film, said ""initial phase"" lasted 80% of the film."
positive;positive;worth seeing...
negative;positive;i hope for more parts.
negative;positive;even 24 hour after watching it, i keep thinking back.
positive;positive;star war wouldn't be star war without return of the jedi knights, and all three part are equally the best film of all time.
negative;negative;you can't be serious.
negative;negative;elysium, on the other hand: clichã©, banality, unexciting.
positive;positive;the image are striking and very expressive, and the star are convincing in their role a four drug-addicted individual heading toward their demise.
negative;negative;tight plot, suspense, action and an outstanding lead actor.
negative;negative;the film take place in the year 2035, the protagonist are already in their mid-30s, but apart from will smith often have no idea what took place in 2000, very unrealistic!
positive;negative;both very original and funny.
positive;positive;hello i can't say it any other way: the film is a classic.
negative;negative;so, if i want a well staged car chase, i'll watch the classic like bullitt, ronin and taxi 1 for all i care, but this is really just bad.
positive;negative;"in the run-up i read thing like ""visually stunning masterpiece"" or ""a 3d experience"" and thought to myself that the film is surely not that bad."
positive;positive;fun remake with a cool cast and a lot of wit!
positive;positive;my tip: go there, rejoice in stubborn winegrowers who love their land and their vine that still exists!
negative;positive;when it suddenly became clear to me that josh hartnett wa in cahoot with bruce willis and on a merciless vendetta, i wa more than convinced by hartnett's performance.
negative;positive;"after cross-reading the reviews, i'm surprised at the polarization potential that is apparently inherent in ""sin city""."
negative;positive;but up to this point, the film wa just great, and know how to inspire with many stromberg typical laughs!
positive;negative;of course, the image of the male role and female role is (unfortunately) still almost everywhere, but a slightly different view of it would have been good.
negative;positive;yes, the story press the tear gland - but in a positive sense.
positive;positive;two other change have also met with tasteful criticism: first, there are the new - better - special effects.
positive;positive;the two are convincing a enemies, partners-against-will, but also a the first sign of sympathy flash between the characters.
positive;positive;especially jonathan rhys meyers and scarlett johanson!
positive;positive;doe not matter because otherwise heart, feeling ect.
negative;negative;i wa in the mood for some mindless action and i got what i expected.
positive;positive;one is reminded again and again that this is fiction.
negative;negative;nothing at all!
positive;positive;all in all, i left the cinema satisfied and wanting more, despite higher expectations.
positive;positive;the film exudes an incredible mood, a bloody freedom, between danger and fantasy of omnipotence, a if de palma had filmed gta in the eighty - only without the open ending, but with the logical consequence, the insane scream that echo until no more word come out of the mouth, but blood.
positive;negative;present everything that is wrong with the modern medium world.
negative;positive;"everything that need to be said about ""psycho"" ha already been said."
negative;negative;another one is alive..in my opinion, then maybe someone would have noticed that it is just an evil game..would be only logical or?
positive;positive;story, humor, actors, logic, thread, etc.. for me a milestone in film history and probably the best film i have seen so far!
positive;positive;the ability to dream yourself into a fantastic story and experience a wonderful fairy tale...!
positive;positive;the film confirms in all respect that even the extra-iridescent can evolve and adapt to modern times.
negative;positive;step up wa quite a nice drama in which a street boy becomes a super couple with the prima ballerina.
positive;positive;"with ""following"", christopher nolan ha succeeded in creating a truly outstanding noir thriller that exudes a very special atmosphere, especially due to it low-budget production."
positive;positive;if you are a tmnt fan.
negative;positive;and it wa breathtaking.
positive;positive;one of the saddest.
negative;negative;hardly any suspense, extremely stupid character and an unbelievable storyline
negative;negative;the dialogue were unfortunately often flat and incoherent, but a few were unexpectedly clever.
negative;negative;a few more tombstone blasted into the air then the whole thing would be a bit more exciting.
positive;positive;a (not necessarily new) but very well realized story, cast with great actors.
negative;negative;a collection of uninteresting character (office hack type), entangled in a spindly constructed case that doesn't add much either.
negative;positive;i must say that german/austrian cinema (weingartner is austrian) can surprise me every now and then.
positive;positive;every single film a small masterpiece - connected only by the theme, love - and the city that give the film it title.
positive;positive;"verdict: ""hostiles"" is hard, sad, extremely rousing, quiet, relentless and leaf you silent before the credit roll."
positive;negative;acting performance are solid, no outlier up or down.
positive;positive;it should be said that it is perhaps the best star war part, which life through the humanity of each character, the old flair and the new story about the force.
positive;positive;the bottom line is that the thing from another world is a creepy, exciting, bloody and action-packed splatter shocker of the old school that really make your blood run cold.
negative;positive;the jackie chan movie have never needed a great or deep story - this one doesn't either.
positive;positive;nice that there are still such film with such a cast!
negative;negative;a subject too often and never well filmed.
positive;positive;even though the film is not technically outstanding, it ha interesting dialogue & make you think.
negative;positive;especially the point, you know how it really was, but imagine the situation from the point of view of a resident, wouldn't you have exactly these prejudices?
positive;positive;good decision!
positive;positive;what wa very nicely done wa where you opened the glass coffin and the clearing had such a beautiful light.
negative;positive;"one thing ""the wild bunch"" clearly shows, however, is that violence fascinates above all else."
negative;positive;atmosphere: here the film score all along the line!
negative;positive;i do not wish any of you to ever get into such a situation and have your soul sold.
negative;positive;the audience ha to swallow the opening scenario like sandra her pills.
positive;positive;"in any case, this film is a very very successful spectacle, which is not only the perfected visual style, but also that this story is exciting, creative and very nice gloomy with the matching black and white harmonizes, so that a very cool mood arises and maintains a certain kind of ""sin city"", but there is a little more comic in it, but this keiensfalls negative for this film or even for ""sin city"" affect."
negative;positive;i have already seen the film in english in new zealand.
negative;negative;but what's the point, the character are just empty shell either way.
negative;positive;because what we perceive today a a string of high-grade clichã©s wa born here!
positive;positive;while the machine around them duplicate the records, they have something unique.
negative;positive;the story is very thin in the process.
negative;positive;"""into the abyss"" is more appropriate."
negative;negative;the action just about get by even though far too little of it is shown.
negative;positive;there are no real lengths, the soundtrack is terrific, you're just really entertained for 111 minutes.
negative;positive;on the other hand, a version with a resolving twist would perhaps be too classical and not a artful.
negative;positive;starring nicolas cage, very well done (!
positive;positive;verdict: really worth seeing funny comedy
negative;positive;the light, easy staging a well a the naturally raunchy (but not insensitive) subject matter make sure that an hour and a half fly by and that you have a few laugh (although the scene in which the kinsey family sits at dinner and kinsey discus detailed sex topic with his wife and child is so awful that you want to sink under the table).
positive;positive;the night scene are very exciting, although it is predominantly one's own expectation that freeze one in the cinema seat.
negative;negative;in the end, he is the hero.
positive;negative;the good old game what the camera doe not show, you do not see / hear!
negative;negative;unfortunately, the film is not particularly convincing in the way it is made.
positive;positive;what emerges on the canvas are dream fantasies, are vision and illusions.
positive;positive;you should definitely take a look at it.
negative;negative;tomb raider by roar uthaug strives to make lara croft a normal young woman, and i have to say, i find that completely silly in a jump-and-run action cracker.
negative;positive;i have the film and can judge it better for me.
positive;negative;the film come to the 1.
positive;positive;"i saw ""looking for eric"" at the sneak yesterday and can say that the filmstarts review captured this film very well."
positive;positive;the actor are completely convincing.
negative;negative;there are definitely some good gag and allusions, but above all there is a lack of suspense, which i still felt in the previous films: never doe the preparation of the heist come into serious danger, every problem is quickly solved, serious antagonist are missing.
negative;positive;of course, this requires a special, cinematic empathy.
negative;positive;"i also think that word-of-mouth is ultimately much more positive than the ""official"" review were at the beginning."
negative;positive;the 'murders' that are actually 'suicides' are anything but unimaginative gorehappen.
negative;negative;"friday night light left u with only one question at the end, wa the \""based on a true event\"" at the beginning the legitimacy for an unspectacular film?"
negative;positive;there is a wide range of horror films.
negative;positive;episode 1 wa great and so wa episode 3.
positive;negative;thus, we have a lot of clichã©s what fall into gerne action, adventure and romance.
negative;negative;"particularly creepy were mainly not the ""shock"" moments, but the logic holes."
negative;positive;why wasn't matt damon arrested for that at the funeral!
positive;positive;overall, even though it may not have sounded like it, i am more than satisfied with the result.
negative;positive;so the two set off for the far north and it all turn out to be different than expected.
positive;positive;the actor are convincing in their roles, something that is essential and important in a film like this.
negative;negative;well-known actor in a gangster comedy where that certain something is missing.
positive;positive;"by the way, those who are afraid of being tortured with the depiction of mass murder like in ""blood diamond"" are hereby reassured."
negative;positive;a father who is absolutely trying like a lion to fight for his kids, and it's going to be tough because dad ha nothing left to sell.
positive;positive;of course, african culture is woven into the film.
positive;negative;in my opinion, it is also stupid when mr. mann mix this film style with glossy shots, which could not be more atmospheric.
positive;positive;the presentation of the image are also in a class of their own.
negative;positive;normally, something like that leaf me cold, but not with this film.
positive;positive;"a very good film that simply show the real reality in the largest camorra neighborhood of naples; there is the highest drug consumption in the world, all drug addict from the region come there by bus!"
negative;positive;and here, too, there have been major fluctuations.
negative;positive;only the ending didn't quite appeal to me.
negative;positive;"right away : michael bay didn't mean anything to me- ""the rock"" (pension-solidarity-supplement for mr.connery otherwise dull commando-soldier bullshit) and ""armageddon"" (completely overdone, unrealistic asteroid-hero saga)on the other hand did."
negative;positive;you aren't given much of a breather, a the tension is kept extremely high from the evil beginning to the bitterly nasty conclusion.
positive;positive;sure, tim burton's movie aren't everyone's cup of tea, but i really liked dark shadows.
positive;positive;but with the bride - ingenious.
positive;positive;sound complicated, but that's how it is in some scenes.
positive;positive;in general, the bridging function between part 1 and 3 wa mastered in an exemplary manner.
negative;positive;i have to admit that i suspected something along those lines, but it took a while before the penny really dropped.
positive;positive;the casting of jake gyllenhall is also very fitting in my opinion.
negative;negative;however, there are only two of these in the entire film and are thus far from enough to turn the tide and create several wow moments.
negative;positive;"and tilda swinton - after ""only lover left alive"" - ""how did you get old, tilda?"
