prediction;gold;sentence
negative;negative;unfortunately not quite.
negative;positive;a masked killer ha caught the family, only the little daughter seems to be hidden somewhere and so arkin decides to help her.
positive;positive;above all, however, is omar sharif, who i consider to be one of the best actor of his time.
negative;positive;back to the weeds.
negative;negative;the fact that the film rightly didn't get a golden boy is largely due to the fact that the screenplay, for whatever reason, wa nominated for an oscar.
negative;positive;however, the alien themselves are not mentioned in the film.
positive;positive;"""man of steel"" is a pure action spectacle."
positive;positive;"a far a thomas newman's score is concerned, in ""skyfall"" he go back to the root of 007 and thus put u in the classic bond feeling."
positive;positive;the first 2/3 third of the film are absolutely world class, creating an absolutely captivating tension.
positive;positive;this is because the film is based on true events.
negative;positive;just perfect i think the movie is really good!!
positive;positive;"in order to bring his son ""home"", thomas make his way to france."
negative;negative;hello, we also watched the film because it wa hugely hyped.
positive;negative;bibi boldly step in a a substitute, of course score a few point and get - of course - in trouble because a girl can only score point if she ha hexed.
positive;positive;in general, the entire film is full of bombast action and breathtaking special effect that really don't have to hide from the competition.
negative;positive;in combination with the recorded comment from various radio and television commentators, the viewer get a real racing feeling, even if these scene seem a little confusing from time to time.
negative;negative;and the story wa more than laughable.
negative;positive;the stage light from the ice surface wa directed towards the aisle leading towards them, where nancy kerrigan wept bitterly.
positive;positive;the criticism is very appropriate (even if it spoil a lot!
negative;positive;i wa incredibly impressed by that.
negative;positive;the only thing missing is q who want to put humanity on trial again :-) this film is proof that star trek is better than star wars!
negative;positive;so there wa plenty of scope for action, and a robert downey jr.
negative;negative;sigourney weaver play her character great a usual, but unfortunately this ha hardly anything to do with the replay, which one could only admire after the first 3 parts.
positive;positive;an absolute firework of special effects.
positive;positive;of course, an absolutely predictable love story should not be missing.
negative;negative;furthermore, the ending is disappointing across the board: everything suddenly ha a happy ending - of course, completely surprisingly - which nobody could have guessed...
positive;positive;perfectly filmed and staged re-launch of the series, which also ha just the right dose of humor - we can look forward to more!
negative;positive;music only occurs when someone in the film turn on the radio or record player.
positive;positive;all in all a very good comedy that you should definitely see.
negative;negative;however, if two more film are shot, that will no longer be sufficient.
positive;negative;to put it in school grades, it's a if you wrote a b first, then a 4, and finally a 6!
negative;positive;but anyone who is a fan and wa already enthusiastic about the two monkey a a small child ^^ will be completely satisfied!
negative;negative;the film is by no mean weak, but it isn't more than average either.
negative;positive;nevertheless, i had to grin almost continuously at this genius, charly in particular cast a spell over me.
negative;positive;there wa more again in the 1.
positive;positive;but this topic made sense in the endeavor of the bond film to offer up-to-date information a far a possible.
positive;positive;the singing interlude are excellent, impress with a rousing staging.
positive;positive;even if praunheim is present a a protagonist here, a in many of his other films, this becomes increasingly irrelevant a the film progresses.
positive;positive;absolute highlight of course the final showdown against the devil himself.
positive;positive;both film have their raison d'être because the opening of the story conveys a completely different feeling.
negative;negative;"just a few ""highlights"" (i can only call them such because the rest of the movie is just plain bland) like e.g. marcellusâ´ line (""i will blow you with a blowtorch"") or butchesâ´ line (""i'm an american, name have no deeper meaning there"") save the film from a total crash for me personally."
positive;positive;the gloomy atmosphere and in particular the absolutely grandiose performance of the two young actors.
positive;positive;damned ignoramuses!
negative;positive;unbeliever have no knowledge of the bible.
negative;negative;unfortunately it doesn't play in the cinema anymore, but it's really absolutely great!
negative;negative;the ending is very good too!
negative;negative;2.
